ASV_ID,ExtCtrl,G_R1,G_R2,G_R3,MockPosCtrl,Ot_R1,Ot_R2,Ot_R3,PB_R1,PB_R2,PB_R3,PCRCtrl,R_R1,R_R2,R_R3,T_R1,T_R2,T_R3,Z_R1,Z_R2,Z_R3
8ab9640f84139d3c5fae0bffc4031b9a,0,0,0,0,0,0,0,0,0,0,0,0,873,155,208,0,0,0,4244,3296,1264
35afed9b7e47c713df92f794c09edc8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,4274,1730
84eaea3ca415183d0e6ff9ad9bc7002c,0,0,0,0,0,9942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e53ad3369eec85a6e777263a8bd0316,0,0,0,0,0,0,0,0,0,0,0,0,5542,2278,2066,0,0,0,0,0,0
c3736f5f0a1ec0db01da72434d8c2497,0,0,0,0,0,0,0,0,0,0,0,0,5673,2166,1869,0,0,0,0,0,0
78c9695eec40d0b5449386126e98f078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3389,4905,1375
8241d462f6ed20ac2b5571d8f7c20047,0,0,0,0,0,0,0,0,0,0,0,0,5362,2069,1662,0,0,0,0,0,0
d10444f5d5b973723853707f4358d364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4130,3257,1528
3d9ec1f19d16537c5c2ef69e988e363e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2697,4746,1256,0,0,0
2ddfe10c04e6d56ac580d47dfd3caac9,0,0,0,0,0,6035,0,0,0,0,0,0,1286,957,374,0,0,0,0,0,0
584a5b694061e063b1342e50d2dff7f4,0,0,0,0,0,0,0,0,0,0,0,0,4737,2469,1441,0,0,0,0,0,0
8acc8e4a544ec7c4f5d33ca716d06116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3104,4187,1292
de22f1cdb5d1b1a02abfa4675aec25a1,0,0,0,0,0,8578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6cf1b629d5ce19e53b756bbc432b07ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3794,3470,1313
803a2b46cdc97f78f2ef8a8a5ca286dd,0,0,0,0,0,2982,0,0,556,3038,1928,0,0,0,0,0,0,0,0,0,0
01ab7f6227d9be613396428d730aa9d2,0,0,0,0,0,8378,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
75706d2cfd20aaf57b08086ce35e7b74,0,0,0,0,0,0,0,0,0,0,0,0,4631,1931,1809,0,0,0,0,0,0
7197f41f0a657c428f701d768fc5305f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3958,2075,2198,0,0,0
9b3344184dcd3e7aae872fa3bb84f3e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4936,903,2363,0,0,0
21a99ce9b0fa67589bd12a8c051f033b,0,0,0,0,0,0,0,3062,0,0,0,0,0,0,0,3029,723,1354,0,0,0
0d3b2bcf91945b7359e9d6eeba5de699,0,0,0,0,0,0,0,0,0,0,0,0,4234,2257,1655,0,0,0,0,0,0
5fbf98ce913a406b06a947a322deaa31,0,0,0,0,0,186,70,7878,0,0,0,0,0,0,0,0,0,0,0,0,4
b9d030a5b06046051196be03f8c41fbf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3649,3166,1271
77a530b2aaf32f926ff19e66d41fffb6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3743,3038,1273
