ID,WS023_S167,WS026_S140,WS027_S171,WS028_S161,WS029_S141,WS031_S151,WS032_S170,WS034_S142,WS035_S152,WS036_S172,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
eff56a784e018e2b507aa5c477c740d8,0,0,0,43,0,0,8,0,0,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,0.790664290134543
0248992d7b82ce005dec47c4bea53853,0,0,0,43,8,0,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA2268;g__JANJTB01,Bacteria,Bacteroidota,Kapaibacteriia,Kapaibacteriales,UBA2268,JANJTB01,NA,0.9889374591561928
492c0fdd20c486fd7da821f4563a1b86,0,0,0,14,34,0,0,0,0,3,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8139;g__CAMFLJ01;s__CAMFLJ01 sp029782145,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,UBA8139,CAMFLJ01,CAMFLJ01 sp029782145,0.9457281768563252
32fb6e87361e7c8e9eb61c6ae65bc88a,0,0,0,0,51,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__JAEUSF01;s__JAEUSF01 sp016788665,Bacteria,Patescibacteria,Doudnabacteria,UBA920,UBA920,JAEUSF01,JAEUSF01 sp016788665,0.9128867954640912
5d27508b82e1e3fbc7c250c06b939773,0,0,0,0,51,0,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Tatlockia;s__Tatlockia fairfieldensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Tatlockia,Tatlockia fairfieldensis,0.7111395727231185
f8350be4638bbe4d346d0cb54ae4d994,0,0,0,0,21,30,0,0,0,0,d__Bacteria;p__Planctomycetota;c__UBA11346;o__UBA11346;f__UBA11346,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,NA,NA,0.962334984558016
410d7a9c7a1caf35b735f931a361de9e,0,0,0,0,14,0,4,0,33,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,LD1,Bog-950,NA,0.9442436720584748
1044e6e489182d08cb216847cb281e0e,0,0,0,0,0,51,0,0,0,0,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__Methanoregula sp030919125,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanoregula,Methanoregula sp030919125,0.8822360353456016
7c41e7a2aca80c2b9ef10bbd27a5fd20,0,0,0,0,0,51,0,0,0,0,d__Bacteria,Bacteria,NA,NA,NA,NA,NA,NA,0.9990783400905282
6a186822efab96d52e00156255bab878,0,0,0,0,0,35,0,0,6,10,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila sp009765975,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila,Rhodopila sp009765975,0.8069211260256544
c614fdb714dcdf97c160feba21f49ba0,0,0,0,0,0,0,51,0,0,0,d__Bacteria;p__Omnitrophota;c__Koll11;o__JABMRN01;f__RBG-13-46-9;g__JAMXCZ01;s__JAMXCZ01 sp024542975,Bacteria,Omnitrophota,Koll11,JABMRN01,RBG-13-46-9,JAMXCZ01,JAMXCZ01 sp024542975,0.8090440536881053
79a8c1251421e7fc9b8a8eefe51de600,0,0,0,0,0,0,0,51,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylotetracoccus,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylotetracoccus,NA,0.9735362545056478
d90cce0ffa73c0dc7a79c7363994b01e,0,0,0,0,0,0,0,51,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylotetracoccus,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylotetracoccus,NA,0.9949339022630996
